Year,Precipitation[in],Group
1933,0.44,1
1980,0.52,1
1944,0.54,1
1940,0.72,1
1981,0.87,1
1970,1.03,2
1971,1.11,2
1955,1.12,2
1946,1.13,2
1967,1.16,2
1934,1.18,2
1942,1.30,2
1963,1.31,2
1943,1.35,2
1972,1.35,2
1957,1.36,2
1969,1.36,2
1977,1.36,2
1968,1.39,2
1973,1.44,2
1941,1.46,2
1982,1.51,3
1961,1.69,3
1975,1.69,3
1938,1.72,3
1948,1.72,3
1960,1.75,3
1964,1.76,3
1974,1.84,3
1962,1.88,3
1951,1.98,3
1954,2.00,4
1936,2.08,4
1956,2.13,4
1965,2.17,4
1949,2.27,4
1966,2.38,4
1952,2.44,4
1947,2.50,5
1953,2.53,5
1935,2.69,5
1945,2.74,5
1939,2.82,5
1950,2.82,5
1959,2.94,5
1976,3.00,6
1937,3.66,6
1979,4.55,6
1958,4.90,6
1978,6.37,6
