Flowrate(m^3), Depth(m)
4.000000,0.363637
6.000000,0.455964
8.000000,0.535810
10.000000,0.606320
12.000000,0.668750
14.000000,0.724347
16.000000,0.773544
18.000000,0.817852
20.000000,0.859012
22.000000,0.897875
24.000000,0.934750
26.000000,0.969982
28.000000,1.003692
30.000000,1.035926
32.000000,1.066691
34.000000,1.096191
36.000000,1.124801
38.000000,1.152770
40.000000,1.180153
42.000000,1.206990
44.000000,1.233322
46.000000,1.259198
48.000000,1.284643
50.000000,1.309681
52.000000,1.334332
54.000000,1.358617
56.000000,1.382550
58.000000,1.406139
60.000000,1.429385
62.000000,1.452301
64.000000,1.474895
66.000000,1.497175
68.000000,1.519152
70.000000,1.540834
72.000000,1.562228
74.000000,1.583343
76.000000,1.604186
78.000000,1.624764
80.000000,1.645083
82.000000,1.665149
84.000000,1.684967
86.000000,1.704548
88.000000,1.723905
90.000000,1.743043
92.000000,1.761966
94.000000,1.780677
96.000000,1.799181
98.000000,1.817481
100.000000,1.835580
102.000000,1.853482
104.000000,1.871190
106.000000,1.888708
108.000000,1.906039
110.000000,1.923185
112.000000,1.940151
114.000000,1.956937
116.000000,1.973546
118.000000,1.989982
120.000000,2.006264
122.000000,2.022403
124.000000,2.038403
126.000000,2.054265
128.000000,2.069991
130.000000,2.085582
132.000000,2.101040
134.000000,2.116368
136.000000,2.131566
138.000000,2.146637
140.000000,2.161582
142.000000,2.176403
144.000000,2.191102
146.000000,2.205679
148.000000,2.220136
150.000000,2.234476
152.000000,2.248698
154.000000,2.262806
156.000000,2.276798
158.000000,2.290677
160.000000,2.304464
162.000000,2.318175
164.000000,2.331811
166.000000,2.345373
168.000000,2.358862
170.000000,2.372280
172.000000,2.385626
174.000000,2.398902
176.000000,2.412110
178.000000,2.425248
180.000000,2.438320
182.000000,2.451324
184.000000,2.464263
186.000000,2.477136
188.000000,2.489945
190.000000,2.502690
192.000000,2.515373
194.000000,2.527993
196.000000,2.540551
198.000000,2.553048
200.000000,2.565485
202.000000,2.577862
204.000000,2.590180
206.000000,2.602436
208.000000,2.614620
210.000000,2.626733
212.000000,2.638776
214.000000,2.650749
216.000000,2.662653
218.000000,2.674488
220.000000,2.686255
222.000000,2.697954
224.000000,2.709586
226.000000,2.721152
228.000000,2.732651
230.000000,2.744085
232.000000,2.755454
234.000000,2.766758
236.000000,2.777998
238.000000,2.789175
240.000000,2.800289
242.000000,2.811340
244.000000,2.822329
246.000000,2.833256
248.000000,2.844122
250.000000,2.854927
252.000000,2.865672
254.000000,2.876358
256.000000,2.886983
258.000000,2.897550
260.000000,2.908069
262.000000,2.918552
264.000000,2.928999
266.000000,2.939411
268.000000,2.949787
270.000000,2.960129
272.000000,2.970436
274.000000,2.980710
276.000000,2.990949
278.000000,3.001156
280.000000,3.011329
282.000000,3.021469
284.000000,3.031577
286.000000,3.041653
288.000000,3.051697
290.000000,3.061709
292.000000,3.071690
294.000000,3.081640
296.000000,3.091559
298.000000,3.101447
300.000000,3.111304
302.000000,3.121132
304.000000,3.130930
306.000000,3.140698
308.000000,3.150437
310.000000,3.160146
312.000000,3.169827
314.000000,3.179478
316.000000,3.189102
318.000000,3.198698
320.000000,3.208273
322.000000,3.217842
324.000000,3.227409
326.000000,3.236973
328.000000,3.246535
330.000000,3.256095
332.000000,3.265654
334.000000,3.275211
336.000000,3.284768
338.000000,3.294325
340.000000,3.303882
342.000000,3.313440
344.000000,3.322998
346.000000,3.332558
348.000000,3.342119
350.000000,3.351682
352.000000,3.361247
354.000000,3.370815
356.000000,3.380385
358.000000,3.389958
360.000000,3.399535
362.000000,3.409116
364.000000,3.418701
366.000000,3.428290
368.000000,3.437883
370.000000,3.447482
372.000000,3.457086
374.000000,3.466696
376.000000,3.476310
378.000000,3.485926
380.000000,3.495545
382.000000,3.505165
384.000000,3.514764
386.000000,3.524323
388.000000,3.533843
390.000000,3.543322
392.000000,3.552761
394.000000,3.562160
396.000000,3.571520
398.000000,3.580840
400.000000,3.590121
402.000000,3.599363
