Flowrate(m^3)	 Depth(m)
40	1.272458
60	1.586139
80	1.850376
100	2.084777
120	2.298652
140	2.495986
160	2.679351
180	2.853065
200	3.019144
220	3.179257
240	3.332647
260	3.477393
280	3.613991
300	3.742968
320	3.865003
340	3.981808
360	4.093908
380	4.201865
400	4.306469
420	4.407891
440	4.506583
460	4.603074
480	4.697464
500	4.789877
520	4.880473
540	4.96932
560	5.056451
580	5.141763
600	5.225271
620	5.30704
640	5.387267
660	5.466277
680	5.544121
700	5.620831
720	5.696419
740	5.770887
760	5.844254
780	5.91654
800	5.98771
820	6.057691
840	6.126507
860	6.194192
880	6.260789
900	6.326369
920	6.390971
940	6.454635
960	6.517417
980	6.579474
1000	6.641076
1020	6.702248
1040	6.762996
1060	6.823324
1080	6.883238
1100	6.942746
1120	7.001863
1140	7.060585
1160	7.118882
1180	7.176659
1200	7.233729
1220	7.290084
1240	7.345764
1260	7.400831
1280	7.455363
1300	7.509518
1320	7.563404
1340	7.617036
1360	7.670431
1380	7.7236
1400	7.776543
1420	7.829289
1440	7.881847
1460	7.93421
1480	7.98637
1500	8.038301
1520	8.089944
1540	8.141226
1560	8.192144
1580	8.242717
1600	8.292974
1620	8.342934
1640	8.39264
1660	8.442144
1680	8.491477
1700	8.540692
1720	8.589831
1740	8.638936
1760	8.688077
1780	8.737351
1800	8.786796
1820	8.836438
1840	8.886314
1860	8.936465
1880	8.986973
1900	9.037924
1920	9.089326
1940	9.141138
1960	9.193326
1980	9.245808
2000	9.298492
2020	9.351271
2040	9.404078
2060	9.45686
2080	9.509503
2100	9.561903
2120	9.613936
2140	9.665494
2160	9.71656
2180	9.767147
2200	9.817221
2220	9.866777
2240	9.915788
2260	9.964232
2280	10.01212
2300	10.05946
2320	10.10628
2340	10.15258
2360	10.19837
2380	10.24366
2400	10.28848
2420	10.33289
2440	10.37695
2460	10.42075
2480	10.46441
2500	10.50806
2520	10.55185
2540	10.59586
2560	10.64009
2580	10.68457
2600	10.7293
2620	10.77431
2640	10.81963
2660	10.86532
2680	10.91132
2700	10.95753
2720	11.00384
2740	11.05009
2760	11.09607
2780	11.14154
2800	11.18631
2820	11.23035
2840	11.27364
2860	11.31618
2880	11.35794
2900	11.39887
2920	11.43892
2940	11.47802
2960	11.5162
2980	11.5535
3000	11.58997
3020	11.62565
3040	11.66057
3060	11.6948
3080	11.72837
3100	11.76133
3120	11.79371
3140	11.82554
3160	11.85683
3180	11.88759
3200	11.91784
3220	11.94761
3240	11.97689
3260	12.00571
3280	12.03408
3300	12.06201
3320	12.0895
3340	12.11658
3360	12.14326
3380	12.16955
3400	12.19546
3420	12.22103
3440	12.24625
3460	12.27115
3480	12.29574
3500	12.32005
3520	12.34411
3540	12.36795
3560	12.39159
3580	12.41502
3600	12.43825
3620	12.4613
3640	12.48416
3660	12.50684
3680	12.52935
3700	12.55169
3720	12.57389
3740	12.59594
3760	12.61785
3780	12.63966
3800	12.66137
3820	12.68302
3840	12.70459
3860	12.72608
3880	12.74751
3900	12.76887
3920	12.79016
3940	12.81138
3960	12.83253
3980	12.85363
4000	12.87466
4020	12.89562
