COMID,RiverStation,XSID,ProfileM
5790034,1260602,2871,98.77440676
5790218,1259200,2872,91.82485323
5790218,1256919,2873,80.63597858
5790218,1256595,2874,78.95570884
5790218,1256467,2875,78.3045754
5790218,1256462,2876,78.27784291
5790218,1256406,2877,77.99776485
5790218,1256293,2878,77.44159725
5790218,1255885,2879,75.61407307
5790218,1254927,2880,70.79406344
5790218,1254380,2881,68.18237783
5790218,1254166,2882,67.071201
5790218,1253864,2883,65.54526445
5790110,1290762,2862,74.23615273
5790110,1282305,2863,53.21216963
5790110,1277251,2864,40.7579589
5790110,1275058,2865,35.37488487
5790112,1297534,2860,91.68323125
5790112,1295024,2861,85.32824434
5790158,1272597,2866,29.17281774
5790158,1270548,2867,24.10673886
5790158,1269297,2868,20.98740284
5790158,1267038,2869,15.43177042
5790158,1263864,2870,7.680171819
5790114,1317217,2855,92.83611425
5790114,1311372,2856,60.00667716
5790114,1309137,2857,46.93174306
5790220,1304422,2858,19.64093701
5790220,1301763,2859,4.676266897
5790116,1337188,2846,31.64311075
5790116,1336204,2847,29.99585335
5790116,1335504,2848,28.80773556
5790116,1335377,2849,28.59169322
5790116,1334542,2850,27.15189984
5790116,1333143,2851,24.82470819
5790116,1328438,2852,16.88221641
5790116,1325899,2853,12.58381046
5790116,1321274,2854,4.999816329
5781313,32276,18446,91.57577982
5781313,32137,18447,91.53631362
5781313,32096,18448,91.32833986
5781313,31995,18449,90.89114406
5781313,31516,18450,89.45524346
5781313,31044,18451,88.02315975
5781313,30947,18452,87.72691168
5781313,30879,18453,87.51818529
5781313,30766,18454,87.17657086
5781313,30305,18455,85.83492641
5781313,30205,18456,85.51629847
5781313,30104,18457,85.18527758
5781313,30014,18458,84.93391908
5781313,29871,18459,84.66723609
5781313,29769,18460,84.35454795
5781313,29752,18461,84.30357048
5781313,29647,18462,83.97840985
5781313,29482,18463,83.47626337
5781313,29229,18464,82.70464006
5781313,28741,18465,81.20677438
5781313,28619,18466,80.82822996
5781313,28529,18467,80.56034676
5781313,28423,18468,80.25844291
5781313,28308,18469,79.88847735
5781313,28257,18470,79.73715875
5781313,28167,18471,79.48011304
5781313,28095,18472,79.30989449
5781313,28029,18473,79.17510016
5781313,27922,18474,78.91658836
5781313,27865,18475,78.75738016
5781313,27759,18476,78.44707786
5781313,27714,18477,78.30488624
5781313,27605,18478,77.97779775
5781313,27542,18479,77.78198305
5781313,27440,18480,77.47859698
5781313,27329,18481,77.1400109
5781313,27229,18482,76.83274152
5781313,27177,18483,76.67073879
5781313,27087,18484,76.39392895
5781313,26985,18485,76.07749026
5781313,26858,18486,75.64556604
5781313,26786,18487,75.39778715
5781313,26683,18488,75.12135309
5781313,26357,18489,74.19615372
5781313,26215,18490,73.69142283
5781313,25972,18491,73.03034149
5781313,25870,18492,72.7233113
5781313,25822,18493,72.5772818
5781313,25728,18494,72.29999259
5781313,25227,18495,70.82051538
5781313,24667,18496,69.1248872
5781313,24536,18497,68.72549795
5781313,24519,18498,68.67339884
5781313,24396,18499,68.30195658
5781313,24137,18500,67.51217206
5781313,23816,18501,66.54019911
5781313,23710,18502,66.21606215
5781313,23660,18503,66.06497042
5781313,23555,18504,65.8321511
5781313,23396,18505,65.26222737
5781313,23303,18506,64.99121115
5781313,23289,18507,64.94881019
5781313,23238,18508,64.93325899
5781313,23130,18509,64.70848688
5781313,23065,18510,64.52451489
5781313,22961,18511,64.19197946
5781313,22823,18512,63.87705316
5781313,22751,18513,63.63608522
5781313,22671,18514,63.39767039
5781313,22597,18515,63.35326613
5781313,22490,18516,62.7688534
5781313,22441,18517,62.61429116
5781313,22386,18518,62.49686809
5781313,22315,18519,62.30730436
5781313,22299,18520,62.26127086
5781313,22233,18521,62.06612769
5781313,22147,18522,61.80365624
5781313,22065,18523,61.55654903
5781313,21969,18524,61.26635689
5781313,21875,18525,60.98373776
5781313,21856,18526,60.92554098
5781313,21846,18527,60.89567809
5781313,21838,18528,60.87013246
5781313,21816,18529,60.80516591
5781313,21651,18530,60.31126455
5781313,21470,18531,59.75777409
5781313,21415,18532,59.59043935
5781313,21273,18533,59.14862774
5781313,21062,18534,58.45785121
5781313,20796,18535,57.65336778
5781313,20676,18536,57.24870896
5781313,20643,18537,57.18206685
5781313,20509,18538,56.81568875
5781313,20417,18539,56.64475058
5781313,20389,18540,56.56720447
5781313,20324,18541,56.27734239
5781313,20222,18542,55.96345227
5781313,20095,18543,55.52871034
5781313,19993,18544,55.43980033
5781313,19938,18545,55.21022483
5781313,19834,18546,54.78222177
5781313,19712,18547,54.46775594
