Stage_Height_ft_,Discharge_cfs_,RiverStation,XSID
0,0,1100,6601
1.74,548,1100,6601
1.99,863,1100,6601
2.11,1090,1100,6601
2.27,1407,1100,6601
2.38,1658,1100,6601
2.49,1928,1100,6601
0,0,1416,6600
1.48,548,1416,6600
1.73,863,1416,6600
1.86,1090,1416,6600
2.02,1407,1416,6600
2.13,1658,1416,6600
2.24,1928,1416,6600
0,0,1687,6599
1.17,548,1687,6599
1.41,863,1687,6599
1.54,1090,1687,6599
1.7,1407,1687,6599
1.82,1658,1687,6599
1.93,1928,1687,6599
0,0,2097,6598
1.46,411,2097,6598
1.69,642,2097,6598
1.82,808,2097,6598
2,1042,2097,6598
2.12,1226,2097,6598
2.24,1423,2097,6598
0,0,2601,6597
0.89,411,2601,6597
1.13,642,2601,6597
1.27,808,2601,6597
1.44,1042,2601,6597
1.56,1226,2601,6597
1.69,1423,2601,6597
0,0,2844,6596
0.78,411,2844,6596
1.02,642,2844,6596
1.15,808,2844,6596
1.31,1042,2844,6596
1.42,1226,2844,6596
1.54,1423,2844,6596
0,0,3210,6595
1.24,411,3210,6595
1.52,642,3210,6595
1.65,808,3210,6595
1.81,1042,3210,6595
1.93,1226,3210,6595
2.04,1423,3210,6595
0,0,3495,6594
1.25,411,3495,6594
1.51,642,3495,6594
1.65,808,3495,6594
1.84,1042,3495,6594
1.98,1226,3495,6594
2.11,1423,3495,6594
0,0,369,6603
2.77,548,369,6603
2.96,863,369,6603
3.08,1090,369,6603
3.21,1407,369,6603
3.31,1658,369,6603
3.39,1928,369,6603
0,0,3718,6593
1.32,411,3718,6593
1.6,642,3718,6593
1.75,808,3718,6593
1.95,1042,3718,6593
2.09,1226,3718,6593
2.23,1423,3718,6593
0,0,4012,6592
1.35,411,4012,6592
1.62,642,4012,6592
1.77,808,4012,6592
1.96,1042,4012,6592
2.09,1226,4012,6592
2.23,1423,4012,6592
0,0,4241,6591
1.41,411,4241,6591
1.67,642,4241,6591
1.83,808,4241,6591
2.01,1042,4241,6591
2.15,1226,4241,6591
2.28,1423,4241,6591
0,0,4585,6590
1.77,411,4585,6590
2.11,642,4585,6590
2.31,808,4585,6590
2.54,1042,4585,6590
2.7,1226,4585,6590
2.86,1423,4585,6590
0,0,4673,6589
5.31,411,4673,6589
6.07,642,4673,6589
6.48,808,4673,6589
7.07,1042,4673,6589
7.48,1226,4673,6589
7.84,1423,4673,6589
0,0,5054,6588
4.08,411,5054,6588
4.85,642,5054,6588
5.27,808,5054,6588
5.88,1042,5054,6588
6.24,1226,5054,6588
6.6,1423,5054,6588
0,0,5291,6587
3.94,411,5291,6587
4.71,642,5291,6587
5.14,808,5291,6587
5.75,1042,5291,6587
6.11,1226,5291,6587
6.47,1423,5291,6587
0,0,5402,6586
3.99,411,5402,6586
4.77,642,5402,6586
5.19,808,5402,6586
5.81,1042,5402,6586
6.17,1226,5402,6586
6.53,1423,5402,6586
0,0,5502,6585
3.92,411,5502,6585
4.7,642,5502,6585
5.12,808,5502,6585
5.74,1042,5502,6585
6.1,1226,5502,6585
6.46,1423,5502,6585
0,0,5618,6584
3.84,411,5618,6584
4.62,642,5618,6584
5.05,808,5618,6584
5.66,1042,5618,6584
6.03,1226,5618,6584
6.39,1423,5618,6584
0,0,5721,6583
1.91,411,5721,6583
2.69,642,5721,6583
3.11,808,5721,6583
3.72,1042,5721,6583
4.09,1226,5721,6583
4.45,1423,5721,6583
0,0,576,6602
1.98,548,576,6602
2.24,863,576,6602
2.37,1090,576,6602
2.53,1407,576,6602
2.65,1658,576,6602
2.75,1928,576,6602
0,0,5845,6582
1.78,411,5845,6582
2.31,642,5845,6582
2.64,808,5845,6582
3.16,1042,5845,6582
3.46,1226,5845,6582
3.75,1423,5845,6582
0,0,5981,6581
2,411,5981,6581
2.79,642,5981,6581
3.3,808,5981,6581
3.97,1042,5981,6581
4.47,1226,5981,6581
4.98,1423,5981,6581
0,0,6132,6580
1.9,411,6132,6580
2.44,642,6132,6580
2.78,808,6132,6580
3.2,1042,6132,6580
3.52,1226,6132,6580
3.81,1423,6132,6580
0,0,6300,6579
2.28,146,6300,6579
2.88,228,6300,6579
3.27,286,6300,6579
3.78,367,6300,6579
4.2,432,6300,6579
4.51,501,6300,6579
0,0,6615,6578
1.64,146,6615,6578
2.07,228,6615,6578
2.34,286,6615,6578
2.72,367,6615,6578
3.1,432,6615,6578
3.26,501,6615,6578
0,0,6894,6577
1.76,146,6894,6577
2.2,228,6894,6577
2.46,286,6894,6577
2.75,367,6894,6577
2.91,432,6894,6577
3.18,501,6894,6577
0,0,6967,6576
1.42,146,6967,6576
1.91,228,6967,6576
2.2,286,6967,6576
2.56,367,6967,6576
2.78,432,6967,6576
3.09,501,6967,6576
0,0,7177,6575
1.36,146,7177,6575
1.7,228,7177,6575
1.93,286,7177,6575
2.23,367,7177,6575
2.47,432,7177,6575
2.7,501,7177,6575
0,0,7423,6574
1.54,146,7423,6574
1.92,228,7423,6574
2.15,286,7423,6574
2.43,367,7423,6574
2.64,432,7423,6574
2.84,501,7423,6574
0,0,7535,6573
0.95,146,7535,6573
1.2,228,7535,6573
1.37,286,7535,6573
1.59,367,7535,6573
1.76,432,7535,6573
1.93,501,7535,6573
0,0,7690,6572
1.19,146,7690,6572
1.42,228,7690,6572
1.54,286,7690,6572
1.69,367,7690,6572
1.78,432,7690,6572
1.87,501,7690,6572
0,0,7807,6571
1.45,146,7807,6571
2.15,228,7807,6571
3.26,286,7807,6571
4.33,367,7807,6571
5.38,432,7807,6571
5.63,501,7807,6571
0,0,7844,6570
0.87,146,7844,6570
1.11,228,7844,6570
2.08,286,7844,6570
3.14,367,7844,6570
4.18,432,7844,6570
4.43,501,7844,6570
0,0,221,6568
0.57,7,221,6568
0.7,11,221,6568
0.79,14,221,6568
0.89,18,221,6568
0.95,21,221,6568
1,24,221,6568
0,0,375,6567
0.42,7,375,6567
0.53,11,375,6567
0.61,14,375,6567
0.69,18,375,6567
0.74,21,375,6567
0.79,24,375,6567
0,0,536,6566
0.54,7,536,6566
0.68,11,536,6566
0.76,14,536,6566
0.87,18,536,6566
0.93,21,536,6566
1,24,536,6566
0,0,672,6565
0.42,7,672,6565
0.54,11,672,6565
0.62,14,672,6565
0.72,18,672,6565
0.78,21,672,6565
0.84,24,672,6565
0,0,835,6564
0.48,7,835,6564
0.59,11,835,6564
0.66,14,835,6564
0.75,18,835,6564
0.8,21,835,6564
0.85,24,835,6564
0,0,92,6569
0.42,7,92,6569
0.52,11,92,6569
0.58,14,92,6569
0.66,18,92,6569
0.71,21,92,6569
0.76,24,92,6569
0,0,10068,62
4.09,1040,10068,62
5.33,1680,10068,62
5.74,1980,10068,62
6.7,2790,10068,62
0,0,10235,61
4.96,1040,10235,61
6.11,1680,10235,61
6.54,1980,10235,61
7.56,2790,10235,61
0,0,10415,60
5.37,890,10415,60
6.53,1410,10415,60
6.97,1670,10415,60
8,2310,10415,60
0,0,10591,59
6.86,890,10591,59
8,1410,10591,59
8.44,1670,10591,59
9.42,2310,10591,59
0,0,1067,152
6.63,1870,1067,152
9.13,3010,1067,152
10.25,3580,1067,152
15.43,5000,1067,152
0,0,10684,58
8.62,890,10684,58
9.8,1410,10684,58
10.27,1670,10684,58
11.32,2310,10684,58
0,0,10870,57
5.34,890,10870,57
6.41,1410,10870,57
6.85,1670,10870,57
7.76,2310,10870,57
0,0,11038,56
5.42,890,11038,56
6.42,1410,11038,56
6.81,1670,11038,56
7.65,2310,11038,56
0,0,11197,55
6.4,890,11197,55
7.44,1410,11197,55
7.85,1670,11197,55
8.72,2310,11197,55
0,0,11339,54
7.06,890,11339,54
8.27,1410,11339,54
8.72,1670,11339,54
9.66,2310,11339,54
0,0,11436,53
8.01,890,11436,53
9.27,1410,11436,53
9.72,1670,11436,53
10.66,2310,11436,53
0,0,11514,52
7.85,890,11514,52
10.85,1410,11514,52
11.5,1670,11514,52
12.63,2310,11514,52
0,0,11613,51
6.61,890,11613,51
9.3,1410,11613,51
9.96,1670,11613,51
11.13,2310,11613,51
0,0,1166,151
9.2,1870,1166,151
12.38,3010,1166,151
16.39,3580,1166,151
19.63,5000,1166,151
0,0,11774,50
6.43,880,11774,50
8.7,1400,11774,50
9.35,1640,11774,50
10.53,2270,11774,50
0,0,11924,49
7.38,880,11924,49
8.55,1400,11924,49
9.04,1640,11924,49
10.03,2270,11924,49
0,0,12005,48
9.48,880,12005,48
10.92,1400,12005,48
