COMID,Stage,Mean,StDev
5781407,0.0,0.0,0.0
5781407,1.0,5.82219,47.3822
5781407,2.0,1.12585,6.88508
5781407,3.0,0.519466,2.31223
5781407,4.0,0.33538,1.09531
5781407,5.0,0.253673,0.623368
5781407,6.0,0.211291,0.402953
5781407,7.0,0.184621,0.282029
5781407,8.0,0.16626,0.209676
5781407,9.0,0.153118,0.163908
5781407,10.0,0.143426,0.133618
5781407,11.0,0.13539,0.112215
5781407,12.0,0.129427,0.097282
5781407,13.0,0.125149,0.086719
5781407,14.0,0.12205,0.0790647
5781407,15.0,0.119951,0.0735124
5781407,16.0,0.118452,0.0693683
5781407,17.0,0.117388,0.0662494
5781407,18.0,0.116214,0.0636601
5781407,19.0,0.115434,0.0617472
5781407,20.0,0.114739,0.060242
5781407,21.0,0.114297,0.0591588
5781407,22.0,0.114639,0.0587104
5781407,23.0,0.115549,0.0587373
5781407,24.0,0.116801,0.0590904
5781407,25.0,0.118306,0.0597015
5781407,26.0,0.120031,0.0605359
5781407,27.0,0.121709,0.0614466
5781407,28.0,0.12321,0.0623553
5781407,29.0,0.124212,0.0630885
5781407,30.0,0.125002,0.0637815
5781407,31.0,0.125875,0.0645748
5781407,32.0,0.126877,0.0654871
5781407,33.0,0.128192,0.0666083
5781407,34.0,0.129725,0.0678881
5781407,35.0,0.131376,0.0692724
5781407,36.0,0.133113,0.0707409
5781407,37.0,0.134529,0.0720752
5781407,38.0,0.136221,0.0735894
5781407,39.0,0.136769,0.0745127
5781407,40.0,0.138529,0.0761202
5781407,41.0,0.139497,0.0773167
5781407,42.0,0.141034,0.0788506
5781407,43.0,0.143042,0.0806729
5781407,44.0,0.145309,0.0826683
5781407,45.0,0.147671,0.0847455
5781407,46.0,0.150063,0.086868
5781407,47.0,0.152362,0.088962
5781407,48.0,0.154054,0.0907239
5781407,49.0,0.156071,0.0926968
5781407,50.0,0.158139,0.0947201
5781407,51.0,0.160558,0.0969756
5781407,52.0,0.162827,0.099163
5781407,53.0,0.165294,0.101492
5781407,54.0,0.168013,0.104001
5781407,55.0,0.170803,0.106577
5781407,56.0,0.173636,0.109205
5781407,57.0,0.176505,0.11188
5781407,58.0,0.179195,0.114465
5781407,59.0,0.18182,0.11703
5781407,60.0,0.184484,0.119642
5781407,61.0,0.187198,0.122307
5781407,62.0,0.189904,0.124987
5781407,63.0,0.192588,0.127674
5781407,64.0,0.195414,0.130476
5781407,65.0,0.198285,0.133328
5781407,66.0,0.201136,0.136189
5781407,67.0,0.203938,0.139036
5781407,68.0,0.206707,0.141881
5781407,69.0,0.209453,0.144729
5781407,70.0,0.211944,0.147419
5781407,71.0,0.214386,0.15009
5781407,72.0,0.216747,0.15272
5781407,73.0,0.219031,0.155311
5781407,74.0,0.221432,0.157998
5781407,75.0,0.223877,0.160731
5781407,76.0,0.226336,0.16349
5781407,77.0,0.228787,0.166257
5781407,78.0,0.231275,0.169066
5781407,79.0,0.23368,0.171828
5781407,80.0,0.235864,0.174442
5781407,81.0,0.237935,0.176982
5781407,82.0,0.239723,0.179322
