#
# U.S. Geological Survey
# National Water Information System
# Retrieved: 2016-09-09 23:32:40 EDT      (sdww01)
#
# ---------------------WARNING---------------------
# The data you have obtained from this automated
# U.S. Geological Survey database have not received
# Director's approval and as such are provisional
# and subject to revision.  The data are released
# on the condition that neither the USGS nor the
# United States Government may be held liable for
# any damages resulting from its use.
#
# Further Descriptions of the parameter_cd column can be found at:
# http://waterdata.usgs.gov/nwis/pmcodes
# Further Descriptions of codes in the result_cd column can be found at:
# http://waterdata.usgs.gov/nwis/help?codes_help#surface_water
#
# This information includes the following fields:
#
#  agency_cd    Agency Code
#  station_nm   Station Name
#  site_no      USGS station number
#  ts_id        TimeSeries ID
#  parameter_cd Parameter Code
#  result_dt    Date that the result was taken
#  result_tz_cd Time datum
#  result_va    Current value
#  result_cd    Code to show data quality
#  result_md    Date the result was modified in the NWIS database
#
agency_cd	site_no	station_nm	ts_id	parameter_cd	result_dt	result_tz_cd	result_va	result_cd	result_md
5s	15s	50s	10n	5s	12d	6s	12s	2s	12d
USGS	01010000	St. John River at Ninemile Bridge, Maine	65330	00060	2016-09-09 23:00:00	EDT	338		2016-09-09 23:21:12
USGS	01010000	St. John River at Ninemile Bridge, Maine	65331	00065	2016-09-09 23:00:00	EDT	1.12		2016-09-09 23:21:12
USGS	01010000	St. John River at Ninemile Bridge, Maine	65333	00020	2016-09-09 23:00:00	EDT	14.7		2016-09-09 23:21:12
USGS	01010000	St. John River at Ninemile Bridge, Maine	65334	00021	2016-09-09 23:00:00	EDT	58.5		2016-09-09 23:21:12
USGS	01010070	Big Black River near Depot Mtn, Maine	65335	00065	2016-09-09 23:00:00	EDT	4.29		2016-09-09 23:21:12
USGS	01010070	Big Black River near Depot Mtn, Maine	65336	00060	2016-09-09 23:00:00	EDT	204		2016-09-09 23:21:12
USGS	01010070	Big Black River near Depot Mtn, Maine	65339	00020	2016-09-09 23:00:00	EDT	13.5		2016-09-09 23:21:12
USGS	01010070	Big Black River near Depot Mtn, Maine	65340	00021	2016-09-09 23:00:00	EDT	56.3		2016-09-09 23:21:12
USGS	01010500	St. John River at Dickey, Maine	65341	00065	2016-09-09 23:00:00	EDT	4.77		2016-09-09 23:06:36
USGS	01010500	St. John River at Dickey, Maine	65342	00060	2016-09-09 23:00:00	EDT	1840		2016-09-09 23:06:36
USGS	01010500	St. John River at Dickey, Maine	65345	00020	2016-09-09 23:00:00	EDT	14.8		2016-09-09 23:06:36
USGS	01010500	St. John River at Dickey, Maine	65346	00021	2016-09-09 23:00:00	EDT	58.6		2016-09-09 23:06:36
USGS	01011000	Allagash River near Allagash, Maine	65347	00065	2016-09-09 23:00:00	EDT	3.33		2016-09-09 23:21:12
USGS	01011000	Allagash River near Allagash, Maine	65349	00060	2016-09-09 23:00:00	EDT	1480		2016-09-09 23:21:12
USGS	01011500	St. Francis River near Connors, New Brunswick	65352	00060	2016-09-09 22:00:00	EDT	190		2016-09-09 22:56:33
