X	Graphic Profile 1
0	5039.766
24.8118976186	5033.0486
49.6237952388	5026.6942
74.4356928603	5025.5092
99.2475904805	5012.2216
124.059488101	4983.9177
148.871385719	4969.5186
173.68328334	4960.9918
198.49518096	4947.2625
223.307078581	4929.1615
248.118976199	4898.9298
272.930873822	4862.1051
297.742771443	4837.2136
322.554669061	4824.9197
347.366566684	4809.8486
372.178464302	4792.2707
396.990361923	4780.0459
421.802259543	4760.1916
446.614157165	4738.3774
471.426054785	4702.3245
496.237952403	4652.4517
521.049850026	4622.4519
545.861747647	4590.3201
570.673645265	4568.5792
595.485542886	4551.3072
620.297440506	4534.6899

