X	Graphic Profile 1
0	4537.1981
29.9123144062	4530.7493
59.8246288115	4532.0257
89.7369432198	4531.2909
119.649257625	4529.6649
149.56157203	4537.169
179.473886438	4541.368
209.386200846	4539.9714
239.298515253	4537.7336
269.210829658	4532.2404
299.123144064	4529.279
329.035458472	4522.1591
358.947772878	4516.2751
388.860087282	4502.6916
418.772401691	4485.5263
448.684716096	4485.5009
478.597030505	4482.4254
509.236253048	4476.3806
539.875475593	4484.7234
570.51469814	4487.3325
601.153920685	4486.3913
631.793143231	4486.4186
662.432365775	4478.5304
693.071588319	4475.0746
723.710810866	4474.582
754.350033411	4466.435
784.989255955	4460.5223
815.6284785	4459.2565
846.267701044	4461.3044
876.906923591	4455.2848
907.546146137	4447.5164
938.185368681	4435.592
968.824591226	4427.3268
999.46381377	4407.3469
1030.10303632	4398.0043
1060.74225886	4394.6031
1091.38148141	4391.0734

