X	Graphic Profile 1
0	4098.0434
30.6163678482	4111.1384
61.2327356905	4130.5409
91.8491035387	4152.4811
122.465471383	4166.3059
153.081839229	4183.932
183.698207074	4189.9204
214.314574922	4208.544
244.930942764	4222.0195
275.547310612	4238.572
306.163678457	4262.9259
336.780046302	4288.3477
367.396414147	4300.3195
398.012781992	4309.9387
428.629149839	4322.2447
459.245517684	4337.158
489.861885529	4345.2018
520.478253376	4339.74
551.094621221	4330.7548
581.710989067	4326.8692
612.327356914	4304.9987
642.943724757	4288.992
673.560092605	4283.7276
704.176460449	4279.5798
734.792828294	4278.19
765.40919614	4278.0657
796.025563988	4283.7203
826.641931831	4290.0517
857.258299678	4295.8315
887.874667523	4313.7604
918.491035371	4328.1492
949.107403213	4335.0607
979.723771061	4341.3743
1010.34013891	4352.1767
1040.95650675	4362.9811
1071.5728746	4375.5106
1102.18924244	4390.079
1132.80561029	4409.1119
1163.42197813	4436.3419
1194.03834598	4459.5955
1224.65471382	4485.8168
1255.27108167	4501.2041
1285.88744952	4513.1293
1316.50381736	4525.6613
1347.12018521	4539.0134
1377.73655305	4546.916
1408.3529209	4558.4021
1438.96928874	4562.6496
1469.58565659	4571.6019
1500.20202444	4573.2564
1530.81839228	4580.4678
1561.43476013	4615.3765
1592.05112797	4644.6995
1622.66749582	4666.5497
1653.28386366	4691.9111
1683.90023151	4721.0938
1714.51659935	4742.3475
1745.1329672	4758.6372
1775.74933505	4796.106
1806.36570289	4823.9617
1836.98207074	4834.8954
1867.59843858	4850.8056
1898.21480643	4869.5209
1928.83117427	4887.9087
1959.44754212	4904.9868
1990.06390997	4919.8177
2020.68027781	4926.8305
2051.29664566	4936.6532
2081.9130135	4948.8794
2112.52938135	4958.4556
2143.14574919	4975.678

